text,label
"Your account has been suspended. Click here to verify your identity.",1
"Urgent password reset required to avoid account closure.",1
"Congratulations, you won a free gift card. Claim it now.",1
"Unusual login detected. Confirm your banking details immediately.",1
"Invoice payment failed. Open this link to update your card.",1
"Security alert: validate your credentials within 24 hours.",1
"Please review the meeting notes before tomorrow.",0
"The team lunch has been moved to Friday.",0
"Can you approve the pull request when you have time?",0
"Your monthly report is attached for review.",0
"The deployment finished successfully this morning.",0
"Reminder: project sync starts at 3 PM.",0
